id,title,employer,location,distance,wage,trainingCourse,level,duration,startDate,closingDate,positions,trainingProvider,url
"VAC2000026241","Level 2 Hair Professionals - Hairdressing Apprenticeship","LOWESTOFT TRADING LTD","Huddersfield (HD1 1EB)","0.0 miles","£6,656 for your first year, then could increase depending on your age","Hairdressing professional (level 2)","2","2 years","Monday 1 June 2026","Saturday 30 May 2026","2","ACHIEVEMENT TRAINING &amp; SKILLS LTD","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026241"
"VAC2000025264","Apprentice Parts and Customer Service Advisor","PERRYS GROUP LIMITED","Huddersfield (HD1 6EB)","0.5 miles","£17,680 for your first year, then could increase depending on your age","Customer service practitioner (level 2)","2","1 year","Monday 6 July 2026","Closes in 11 days (Sunday 26 April 2026 at 11:59pm)","1","KIRKLEES COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025264"
"VAC2000021011","Apprentice Customer Service Administrator - (SEND Team)","Kirklees College","West Yorkshire (HD1 3LD)","0.6 miles","£15,392 for your first year, then could increase depending on your age","Customer service practitioner (level 2)","2","1 year","Monday 6 July 2026","Closes today at 11:59pm","1","KIRKLEES COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000021011"
"VAC2000019480","Print and Finishing Apprentice","PROPACK DIRECT MAIL LIMITED","Huddersfield (HD2 1FA)","1.4 miles","£15,600 for your first year, then could increase depending on your age","Print technician (level 3)","3","2 years 6 months","Monday 4 May 2026","Closes in 15 days (Thursday 30 April 2026 at 11:59pm)","2","BPIF TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000019480"
"VAC2000021913","Level 2 Health and Social Care Apprentice","LOTUS HOME CARE LIMITED","Barnsley, Halifax, Huddersfield, Leeds, Rotherham, Wakefield","13.2 miles","£15,600 to £24,784.50, depending on your age","Adult care worker (level 2)","2","1 year 6 months","Monday 20 April 2026","Closes in 3 days (Saturday 18 April 2026 at 11:59pm)","5","RNN GROUP","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000021913"
"VAC2000021917","Level 3 Health and Social Care Apprentice","LOTUS HOME CARE LIMITED","Barnsley, Halifax, Huddersfield, Leeds, Rotherham, Wakefield","13.2 miles","£15,600 to £24,784.50, depending on your age","Lead adult care worker (level 3)","3","1 year 6 months","Monday 20 April 2026","Closes in 3 days (Saturday 18 April 2026 at 11:59pm)","5","RNN GROUP","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000021917"
"VAC2000026214","Apprentice Dental Nurse -  Huddersfield","ROYD HOUSE DENTAL PRACTICE LIMITED","HUDDERSFIELD (HD3 3NF)","1.8 miles","£12,480 for your first year, then could increase depending on your age","Dental nurse (level 3)","3","1 year","Friday 15 May 2026","Closes in 29 days (Thursday 14 May 2026 at 11:59pm)","1","HARRIET ELLIS TRAINING SOLUTIONS LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026214"
"VAC2000020811","Apprentice Dental Nurse -  Linthwaite","Linthwaite Dental Care","613 Manchester RoadHuddersfield (HD7 5QX)","2.9 miles","£16,640 for your first year, then could increase depending on your age","Dental nurse (level 3)","3","1 year 6 months","Friday 24 April 2026","Closes in 2 days (Friday 17 April 2026)","1","TEMP DENT DENTAL AGENCY LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000020811"
"VAC2000001262","(App807) Business Administration Apprentice Level 3","BLACK STAR BEVERAGES LTD","ELLAND (HX5 0RY)","3.5 miles","£12,480 for your first year, then could increase depending on your age","Business administrator (level 3)","3","1 year 9 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000001262"
"VAC2000022587","Apprentice HR Support Level 5","LJ HEFFERNAN UTILITIES LIMITED","Brighouse (HD6 1BE)","3.6 miles","£16,640 for your first year, then could increase depending on your age","People professional (level 5)","5","1 year 11 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000022587"
"VAC2000022369","Apprentice Pharmacy Assistant","HEALTHPHARM YORKSHIRE LTD","Brighouse (HD6 1AT)","3.7 miles","£15,392 for your first year, then could increase depending on your age","Customer service practitioner (level 2)","2","1 year","Friday 29 May 2026","Monday 25 May 2026","1","JUNIPER TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000022369"
"VAC2000010604","(App815) Apprentice Admin Level 3","TRAILBLAZER SOCIAL CARE","Brighouse (HD6 1PE)","3.7 miles","£16,640 for your first year, then could increase depending on your age","Business administrator (level 3)","3","1 year 9 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000010604"
"VAC2000022623","Warehouse Apprentice","AVOCET HARDWARE GROUP LTD","BRIGHOUSE (HD6 2RW)","3.7 miles","£17,680 a year","Supply chain warehouse operative (level 2)","2","1 year","Tuesday 9 June 2026","Closes in 12 days (Monday 27 April 2026 at 11:59pm)","4","KIRKLEES COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000022623"
