referenceNumber,larsCode,title,level,route,typicalDuration,maxFunding,status
"ST1312","749","Legal technician - conveyancing technician or probate technician","4","Legal, finance and accounting","24","10000","Approved for delivery"
"ST0641","578","Tool process design engineer","6","Engineering and manufacturing","48","22000","Approved for delivery"
"ST0830","580","Health and care intelligence specialist","7","Health and science","36","17000","Approved for delivery"
"ST0933","649","Post production engineer","5","Creative and design","24","14000","Approved for delivery"
"ST0129","91","Software tester","4","Digital","24","18000","Approved for delivery"
"ST0061","193","Building services engineering service and maintenance engineer","3","Construction and the built environment","48","18000","Approved for delivery"
"ST0594","412","Funeral team member","2","Sales, marketing and procurement","12","4000","Approved for delivery"
"ST0217","151","Senior healthcare support worker","3","Health and science","24","9000","Approved for delivery"
"ST1318","723","Junior grip","2","Creative and design","24","15000","Approved for delivery"
"ST1386","746","Data engineer","5","Digital","24","19000","Approved for delivery"
"ST0860","722","Infrastructure asset management professional","7","Engineering and manufacturing","24","20000","Approved for delivery"
"ST1381","759","Advanced robotics engineer","7","Engineering and manufacturing","36","27000","Approved for delivery"
"ST0572","369","Sales executive","4","Sales, marketing and procurement","18","6000","Approved for delivery"
"ST0770","616","Sports coach","4","Health and science","18","9000","Approved for delivery"
"ST0607","399","Metal fabricator","3","Engineering and manufacturing","42","27000","Approved for delivery"
"ST0910","596","Knitted product manufacturing technician","3","Engineering and manufacturing","24","11000","Approved for delivery"
"ST1308","788","Heat network maintenance technician","3","Engineering and manufacturing","36","26000","Approved for delivery"
"ST1442","751","Publishing professional","4","Creative and design","24","10000","Approved for delivery"
"ST0202","289","Footwear manufacturer","2","Engineering and manufacturing","15","8000","Approved for delivery"
"ST0624","454","Food and drink engineer","5","Engineering and manufacturing","36","18000","Approved for delivery"
"ST0177","8","Financial services administrator","3","Legal, finance and accounting","12","10000","Approved for delivery"
"ST0855","594","Space engineering technician","4","Engineering and manufacturing","48","19000","Approved for delivery"
"ST0743","513","Fenestration installer","2","Construction and the built environment","18","9000","Approved for delivery"
"ST0842","666","Officer of the watch (near coastal)","3","Transport and logistics","36","15000","Approved for delivery"
"ST0515","417","Manufacturing manager (integrated degree)","6","Engineering and manufacturing","42","24000","Approved for delivery"
"ST0795","576","Data technician","3","Digital","24","13000","Approved for delivery"
"ST0328","183","Bespoke saddler","3","Creative and design","24","15000","Approved for delivery"
"ST0505","413","IT solutions technician","3","Digital","18","15000","Approved for delivery"
"ST0187","32","Pensions administrator","3","Legal, finance and accounting","18","9000","Approved for delivery"
"ST0491","244","Geospatial survey technician","3","Construction and the built environment","24","13000","Approved for delivery"
"ST0644","373","Advertising and media executive","3","Sales, marketing and procurement","18","11000","Approved for delivery"
"ST0215","102","Assistant practitioner (health)","5","Health and science","24","14000","Approved for delivery"
"ST0748","564","Sustainability business specialist (integrated degree)","7","Business and administration","24","11000","Approved for delivery"
"ST0919","765","Craft technician","3","Creative and design","18","14000","Approved for delivery"
"ST1305","691","Machining technician","3","Engineering and manufacturing","42","27000","Approved for delivery"
"ST0862","758","Domestic and sexual abuse support worker","4","Care services","18","8000","Approved for delivery"
"ST0151","107","Embedded electronic systems design and development engineer (degree)","6","Engineering and manufacturing","36","27000","Approved for delivery"
"ST0339","206","Passenger transport operative","2","Transport and logistics","12","6000","Approved for delivery"
"ST0251","549","Stairlift, platform lift, service lift electromechanic","2","Engineering and manufacturing","24","11000","Approved for delivery"
"ST0843","532","Cleaning hygiene operative","2","Health and science","12","5000","Approved for delivery"
"ST0127","1","Network engineer","4","Digital","24","19000","Approved for delivery"
"ST1407","744","Process industry manufacturing technician","3","Engineering and manufacturing","36","24000","Approved for delivery"
"ST0944","628","Assistant recording technician","4","Creative and design","24","10000","Approved for delivery"
"ST0666","639","Education technician (he assistant technician and simulation-based technician)","3","Education and early years","24","10000","Approved for delivery"
"ST0524","446","Sporting excellence professional","3","Health and science","18","10000","Approved for delivery"
"ST0750","623","Mastic asphalter","2","Construction and the built environment","34","12000","Approved for delivery"
"ST0824","607","Signage technician","3","Engineering and manufacturing","24","10000","Approved for delivery"
"ST1512","828","Artificial intelligence (AI) and automation practitioner","4","Digital","18","18000","Approved for delivery"
"ST0171","23","Property maintenance operative","2","Construction and the built environment","24","14000","Approved for delivery"
"ST1480","825","Insulation installation operative","2","Construction and the built environment","24","15000","Approved for delivery"
"ST1368","713","Chartered legal executive litigator and advocate","7","Legal, finance and accounting","66","27000","Approved for delivery"
"ST0883","632","Market research executive","4","Sales, marketing and procurement","18","8000","Approved for delivery"
"ST1476","826","Advanced paralegal","5","Legal, finance and accounting","24","18000","Approved for delivery"
"ST1340","739","Advertising creative","6","Creative and design","24","17000","Approved for delivery"
"ST0597","319","Technician scientist","5","Health and science","36","21000","Approved for delivery"
"ST0185","31","Financial services customer adviser","3","Legal, finance and accounting","18","11000","Approved for delivery"
"ST0049","468","Construction quantity surveying technician","4","Construction and the built environment","36","9000","Approved for delivery"
"ST0154","146","Maintenance and operations engineering technician","3","Engineering and manufacturing","36","26000","Approved for delivery"
"ST0201","209","Supply chain practitioner (fast-moving consumer goods (FMCG))","3","Transport and logistics","30","15000","Approved for delivery"
"ST0442","637","Stonemason","2","Construction and the built environment","24","11000","Approved for delivery"
"ST1326","775","Mechatronics maintenance technician","3","Engineering and manufacturing","42","27000","Approved for delivery"
"ST0372","198","Building services engineer","6","Construction and the built environment","60","27000","Approved for delivery"
"ST0019","114","Aircraft certifying technician","4","Engineering and manufacturing","45","27000","Approved for delivery"
"ST0067","134","Bus and coach engineering technician","3","Engineering and manufacturing","36","16000","Approved for delivery"
"ST0221","429","Archaeological technician","3","Creative and design","12","9000","Approved for delivery"
"ST0869","613","Payroll assistant manager","5","Legal, finance and accounting","24","11000","Approved for delivery"
"ST0832","557","Telecoms field operative","2","Construction and the built environment","15","7000","Approved for delivery"
"ST0409","355","Cyber security technical professional (integrated degree)","6","Digital","48","24000","Approved for delivery"
"ST0759","457","Research scientist","7","Health and science","30","18000","Approved for delivery"
"ST0520","205","Senior insurance professional","6","Legal, finance and accounting","36","21000","Approved for delivery"
"ST0051","125","Highway electrical maintenance and installation operative","2","Construction and the built environment","24","9000","Approved for delivery"
"ST0230","138","Hospitality supervisor","3","Catering and hospitality","12","4000","Approved for delivery"
"ST0239","191","HR support","3","Business and administration","18","4500","Approved for delivery"
"ST0241","63","Insurance professional","4","Legal, finance and accounting","24","9000","Approved for delivery"
