time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,pcon_code,pcon_name,age_summary,apps_level,sex,starts,achievements,participation
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Total,1980,810,5730
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Total,390,180,940
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Total,850,340,2600
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Total,730,290,2210
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Female,990,450,2770
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Female,170,80,420
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Female,410,170,1110
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Female,420,190,1250
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Male,990,370,2960
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Male,230,100,520
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Male,440,170,1480
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Male,310,100,960
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Total,540,200,1100
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Total,210,100,420
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Total,300,100,650
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Total,30,10,40
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Female,180,90,360
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Female,80,40,170
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Female,90,40,180
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Female,10,low,20
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Male,360,110,750
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Male,130,60,250
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Male,210,50,470
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Male,20,low,30
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Total,Total,580,250,2010
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Intermediate Apprenticeship,Total,120,40,330
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Advanced Apprenticeship,Total,260,110,1080
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Higher Apprenticeship,Total,190,90,610
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Total,Female,280,120,840
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Intermediate Apprenticeship,Female,50,20,150
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Advanced Apprenticeship,Female,140,50,410
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Higher Apprenticeship,Female,90,50,280
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Total,Male,300,120,1170
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Intermediate Apprenticeship,Male,70,20,180
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Advanced Apprenticeship,Male,120,60,670
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Higher Apprenticeship,Male,100,40,320
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Total,Total,860,370,2620
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Intermediate Apprenticeship,Total,60,50,190
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Advanced Apprenticeship,Total,290,130,870
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Higher Apprenticeship,Total,510,190,1560
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Total,Female,530,240,1570
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Intermediate Apprenticeship,Female,40,20,100
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Advanced Apprenticeship,Female,180,80,530
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Higher Apprenticeship,Female,320,130,950
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Total,Male,330,130,1040
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Intermediate Apprenticeship,Male,20,20,90
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Advanced Apprenticeship,Male,110,50,340
202526,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Higher Apprenticeship,Male,200,60,610
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Total,3020,1860,6710
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Total,620,430,1250
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Total,1320,830,3040
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Total,1080,600,2470
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Female,1620,990,3340
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Female,310,220,610
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Female,680,420,1370
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Female,630,350,1400
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Male,1400,870,3370
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Male,310,210,640
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Male,640,410,1670
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Male,450,250,1070
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Total,810,470,1470
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Total,310,190,570
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Total,450,250,840
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Total,50,30,70
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Female,330,200,560
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Female,140,80,250
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Female,170,100,280
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Female,20,20,30
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Male,480,270,910
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Male,170,100,320
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Male,280,150,560
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Male,30,20,40
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Total,Total,790,600,2220
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Intermediate Apprenticeship,Total,170,120,370
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Advanced Apprenticeship,Total,360,310,1180
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Higher Apprenticeship,Total,250,170,700
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Total,Female,410,300,940
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Intermediate Apprenticeship,Female,100,60,180
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Advanced Apprenticeship,Female,180,160,460
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Higher Apprenticeship,Female,130,80,320
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Total,Male,380,310,1280
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Intermediate Apprenticeship,Male,80,60,190
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Advanced Apprenticeship,Male,180,150,720
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Higher Apprenticeship,Male,120,100,380
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Total,Total,1420,790,3030
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Intermediate Apprenticeship,Total,140,120,310
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Advanced Apprenticeship,Total,500,280,1030
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Higher Apprenticeship,Total,780,400,1700
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Total,Female,880,500,1850
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Intermediate Apprenticeship,Female,80,80,180
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Advanced Apprenticeship,Female,330,170,630
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Higher Apprenticeship,Female,470,260,1040
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Total,Male,540,290,1180
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Intermediate Apprenticeship,Male,60,50,130
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Advanced Apprenticeship,Male,180,110,400
