"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","INDUSTRY","INDUSTRY_NAME","INDUSTRY_CODE","INDUSTRY_TYPE","INDUSTRY_TYPECODE","INDUSTRY_SORTORDER","EMPLOYMENT_SIZEBAND","EMPLOYMENT_SIZEBAND_NAME","EMPLOYMENT_SIZEBAND_CODE","EMPLOYMENT_SIZEBAND_TYPE","EMPLOYMENT_SIZEBAND_TYPECODE","EMPLOYMENT_SIZEBAND_SORTORDER","LEGAL_STATUS","LEGAL_STATUS_NAME","LEGAL_STATUS_CODE","LEGAL_STATUS_TYPE","LEGAL_STATUS_TYPECODE","LEGAL_STATUS_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994945","A : Agriculture, forestry and fishing","A","SIC 2007 section",36,0,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",315,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994945d0d0d20100",0,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994946","B : Mining and quarrying","B","SIC 2007 section",36,1,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994946d0d0d20100",1,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994947","C : Manufacturing","C","SIC 2007 section",36,2,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",1390,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994947d0d0d20100",2,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994948","D : Electricity, gas, steam and air conditioning supply","D","SIC 2007 section",36,3,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",20,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994948d0d0d20100",3,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994949","E : Water supply; sewerage, waste management and remediation activities","E","SIC 2007 section",36,4,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",55,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994949d0d0d20100",4,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994950","F : Construction","F","SIC 2007 section",36,5,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",2005,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994950d0d0d20100",5,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994951","G : Wholesale and retail trade; repair of motor vehicles and motorcycles","G","SIC 2007 section",36,6,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",3075,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994951d0d0d20100",6,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994952","H : Transportation and storage","H","SIC 2007 section",36,7,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",725,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994952d0d0d20100",7,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994953","I : Accommodation and food service activities","I","SIC 2007 section",36,8,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",1125,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994953d0d0d20100",8,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994954","J : Information and communication","J","SIC 2007 section",36,9,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",575,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994954d0d0d20100",9,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994955","K : Financial and insurance activities","K","SIC 2007 section",36,10,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",235,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994955d0d0d20100",10,21
"2025","2025","2025","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994956","L : Real estate activities","L","SIC 2007 section",36,11,"0","Total","0","employment sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",690,"A","Normal Value","F","Free (free for publication)","Nm-142d1d32400e0d1774190688d150994956d0d0d20100",11,21
