"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_AGE_19","C2021_AGE_19_NAME","C2021_AGE_19_CODE","C2021_AGE_19_TYPE","C2021_AGE_19_TYPECODE","C2021_AGE_19_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"0","Total","0","Age",1000000,0,"20100","Value",433214,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d0d20100",0,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"0","Total","0","Age",1000000,0,"20301","Percent",100.0,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d0d20301",1,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1","Aged 4 years and under","_1","Age",1000000,1,"20100","Value",25144,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d1d20100",2,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1","Aged 4 years and under","_1","Age",1000000,1,"20301","Percent",5.8,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d1d20301",3,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"2","Aged 5 to 9 years","_2","Age",1000000,2,"20100","Value",27644,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d2d20100",4,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"2","Aged 5 to 9 years","_2","Age",1000000,2,"20301","Percent",6.4,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d2d20301",5,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"3","Aged 10 to 14 years","_3","Age",1000000,3,"20100","Value",28614,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d3d20100",6,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"3","Aged 10 to 14 years","_3","Age",1000000,3,"20301","Percent",6.6,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d3d20301",7,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"4","Aged 15 to 19 years","_4","Age",1000000,4,"20100","Value",26867,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d4d20100",8,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"4","Aged 15 to 19 years","_4","Age",1000000,4,"20301","Percent",6.2,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d4d20301",9,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"5","Aged 20 to 24 years","_5","Age",1000000,5,"20100","Value",25844,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d5d20100",10,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"5","Aged 20 to 24 years","_5","Age",1000000,5,"20301","Percent",6.0,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d5d20301",11,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"6","Aged 25 to 29 years","_6","Age",1000000,6,"20100","Value",26445,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d6d20100",12,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"6","Aged 25 to 29 years","_6","Age",1000000,6,"20301","Percent",6.1,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d6d20301",13,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"7","Aged 30 to 34 years","_7","Age",1000000,7,"20100","Value",28424,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d7d20100",14,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"7","Aged 30 to 34 years","_7","Age",1000000,7,"20301","Percent",6.6,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d7d20301",15,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"8","Aged 35 to 39 years","_8","Age",1000000,8,"20100","Value",28156,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d8d20100",16,38
