"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_EASTAT_20","C2021_EASTAT_20_NAME","C2021_EASTAT_20_CODE","C2021_EASTAT_20_TYPE","C2021_EASTAT_20_TYPECODE","C2021_EASTAT_20_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"0","Total: All usual residents aged 16 years and over","0","Economic activity status",1000000,0,"20100","Value",346271,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d0d20100",0,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"0","Total: All usual residents aged 16 years and over","0","Economic activity status",1000000,0,"20301","Percent",100.0,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d0d20301",1,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1001","Economically active (excluding full-time students)","1001","Economic activity status",1000000,1,"20100","Value",194117,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d1a2a3a4a5a6a7d20100",2,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1001","Economically active (excluding full-time students)","1001","Economic activity status",1000000,1,"20301","Percent",56.1,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d1a2a3a4a5a6a7d20301",3,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1002","Economically active (excluding full-time students):In employment","1002","Economic activity status",1000000,2,"20100","Value",184331,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d1a2a3a4a5a6d20100",4,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1002","Economically active (excluding full-time students):In employment","1002","Economic activity status",1000000,2,"20301","Percent",53.2,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d1a2a3a4a5a6d20301",5,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1003","Economically active (excluding full-time students):In employment:Employee","1003","Economic activity status",1000000,3,"20100","Value",155429,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d1a2d20100",6,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1003","Economically active (excluding full-time students):In employment:Employee","1003","Economic activity status",1000000,3,"20301","Percent",44.9,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d1a2d20301",7,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1","Economically active (excluding full-time students): In employment: Employee: Part-time","_1","Economic activity status",1000000,4,"20100","Value",43657,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d1d20100",8,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1","Economically active (excluding full-time students): In employment: Employee: Part-time","_1","Economic activity status",1000000,4,"20301","Percent",12.6,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d1d20301",9,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"2","Economically active (excluding full-time students): In employment: Employee: Full-time","_2","Economic activity status",1000000,5,"20100","Value",111772,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d2d20100",10,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"2","Economically active (excluding full-time students): In employment: Employee: Full-time","_2","Economic activity status",1000000,5,"20301","Percent",32.3,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d2d20301",11,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1004","Economically active (excluding full-time students):In employment:Self-employed with employees","1004","Economic activity status",1000000,6,"20100","Value",5281,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d3a4d20100",12,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1004","Economically active (excluding full-time students):In employment:Self-employed with employees","1004","Economic activity status",1000000,6,"20301","Percent",1.5,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d3a4d20301",13,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"3","Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time","_3","Economic activity status",1000000,7,"20100","Value",1484,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d3d20100",14,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"3","Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time","_3","Economic activity status",1000000,7,"20301","Percent",0.4,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d3d20301",15,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"4","Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time","_4","Economic activity status",1000000,8,"20100","Value",3797,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d4d20100",16,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"4","Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time","_4","Economic activity status",1000000,8,"20301","Percent",1.1,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d4d20301",17,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1005","Economically active (excluding full-time students):In employment:Self-employed without employees","1005","Economic activity status",1000000,9,"20100","Value",23621,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d5a6d20100",18,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1005","Economically active (excluding full-time students):In employment:Self-employed without employees","1005","Economic activity status",1000000,9,"20301","Percent",6.8,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d5a6d20301",19,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"5","Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time","_5","Economic activity status",1000000,10,"20100","Value",10619,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d5d20100",20,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"5","Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time","_5","Economic activity status",1000000,10,"20301","Percent",3.1,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d5d20301",21,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"6","Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time","_6","Economic activity status",1000000,11,"20100","Value",13002,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d6d20100",22,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"6","Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time","_6","Economic activity status",1000000,11,"20301","Percent",3.8,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d6d20301",23,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"7","Economically active (excluding full-time students): Unemployed","_7","Economic activity status",1000000,12,"20100","Value",9786,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d7d20100",24,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"7","Economically active (excluding full-time students): Unemployed","_7","Economic activity status",1000000,12,"20301","Percent",2.8,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d7d20301",25,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1006","Economically active and a full-time student","1006","Economic activity status",1000000,13,"20100","Value",8073,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d8a9a10a11a12a13a14d20100",26,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1006","Economically active and a full-time student","1006","Economic activity status",1000000,13,"20301","Percent",2.3,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d8a9a10a11a12a13a14d20301",27,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1007","Economically active and a full-time student:In employment","1007","Economic activity status",1000000,14,"20100","Value",5753,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d8a9a10a11a12a13d20100",28,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1007","Economically active and a full-time student:In employment","1007","Economic activity status",1000000,14,"20301","Percent",1.7,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d8a9a10a11a12a13d20301",29,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1008","Economically active and a full-time student:In employment:Employee","1008","Economic activity status",1000000,15,"20100","Value",5455,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d8a9d20100",30,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1008","Economically active and a full-time student:In employment:Employee","1008","Economic activity status",1000000,15,"20301","Percent",1.6,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d8a9d20301",31,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"8","Economically active and a full-time student: In employment: Employee: Part-time","_8","Economic activity status",1000000,16,"20100","Value",4644,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d8d20100",32,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"8","Economically active and a full-time student: In employment: Employee: Part-time","_8","Economic activity status",1000000,16,"20301","Percent",1.3,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d8d20301",33,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"9","Economically active and a full-time student: In employment: Employee: Full-time","_9","Economic activity status",1000000,17,"20100","Value",811,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d9d20100",34,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"9","Economically active and a full-time student: In employment: Employee: Full-time","_9","Economic activity status",1000000,17,"20301","Percent",0.2,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d9d20301",35,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1009","Economically active and a full-time student:In employment:Self-employed with employees","1009","Economic activity status",1000000,18,"20100","Value",39,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d10a11d20100",36,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"1009","Economically active and a full-time student:In employment:Self-employed with employees","1009","Economic activity status",1000000,18,"20301","Percent",0.0,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d10a11d20301",37,62
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"10","Economically active and a full-time student: In employment: Self-employed with employees: Part-time","_10","Economic activity status",1000000,19,"20100","Value",25,"A","Normal Value","F","Free (free for publication)","Nm-2083d1d32336e0d645922886d10d20100",38,62
