LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2015 (excluding prisoners),Dependent Children aged 0-15: mid 2015 (excluding prisoners),Population aged 16-59: mid 2015 (excluding prisoners),Older population aged 60 and over: mid 2015 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) 
E01011004,Kirklees 040A,E08000034,Kirklees,52.755,1757,1,0.298,2259,1,0.292,536,1,44.322,4326,2,1.485,1536,1,0.743,6023,2,21.294,15148,5,18.548,16398,5,0.321,3568,2,0.288,5163,2,0.896,4583,2,0.445,4252,2,-0.135,18061,6,1.395,8970,3,0.302,11859,4,-0.355,21279,7,1355,247,707,401,730
E01011005,Kirklees 044A,E08000034,Kirklees,14.735,19194,6,0.067,22226,7,0.071,18529,6,13.48,18610,6,-0.098,17542,6,0.613,7549,3,17.021,20413,7,24.904,11846,4,0.087,21254,7,0.07,25217,8,-0.162,18789,6,0.287,17412,6,0.345,10116,4,-1.514,23469,8,0.309,11758,4,0.424,9204,3,1524,210,781,533,792
E01011006,Kirklees 040B,E08000034,Kirklees,20.261,14114,5,0.115,14258,5,0.09,14379,5,16.101,16493,6,0.172,13436,5,0.558,8295,3,14.602,23530,8,35.126,6184,2,0.148,14219,5,0.13,16162,5,0.087,14682,5,0.286,17636,6,-0.085,17149,6,-0.384,17264,6,0.837,5289,2,0.273,11105,4,1533,247,837,449,843
E01011007,Kirklees 042A,E08000034,Kirklees,18.51,15682,5,0.096,16867,6,0.069,18991,6,6.458,25641,8,-0.377,21821,7,0.296,11987,4,20.295,16298,5,56.76,988,1,0.124,16671,6,0.137,15337,5,-0.619,25514,8,0.231,23910,8,-0.184,18989,6,1.298,9333,3,1.613,787,1,0.034,14737,5,1846,233,1326,287,1351
E01011008,Kirklees 040C,E08000034,Kirklees,24.687,10954,4,0.124,13254,5,0.083,15645,5,17.599,15396,5,0.447,9750,3,0.558,8292,3,13.132,25236,8,57.784,881,1,0.177,11773,4,0.189,10817,4,-0.034,16647,6,0.322,13605,5,-0.712,26971,9,0.564,12469,4,1.545,970,1,0.393,9597,3,1517,245,1039,233,1045
E01011009,Kirklees 044B,E08000034,Kirklees,19.429,14881,5,0.104,15817,5,0.106,11558,4,11.86,20075,7,0.247,12379,4,0.545,8472,3,15.211,22736,7,27.004,10543,4,0.153,13807,5,0.073,24577,8,-0.197,19349,6,0.269,19529,6,-0.41,22679,7,0.595,12335,4,0.726,6519,2,-0.405,22105,7,1399,226,733,440,731
E01011010,Kirklees 044C,E08000034,Kirklees,39.434,4447,2,0.274,3073,1,0.168,5099,2,43.702,4480,2,0.766,6217,2,0.722,6261,2,14.303,23875,8,35.084,6206,2,0.415,1185,1,0.232,7957,3,1.005,3724,2,0.42,5533,2,-0.61,25663,8,0.713,11804,4,0.942,4323,2,-0.065,16363,5,1474,344,834,296,835
E01011011,Kirklees 044D,E08000034,Kirklees,7.048,28258,9,0.027,31312,10,0.04,27798,9,2.297,30531,10,-0.418,22365,7,0.267,12440,4,16.358,21219,7,19.989,15299,5,0.056,26360,9,0.028,32186,10,-1.246,30932,10,0.184,28482,9,0.357,9923,4,-1.895,25360,8,0.409,10408,4,-0.445,22701,7,1555,212,820,523,826
E01011012,Kirklees 040D,E08000034,Kirklees,17.112,16888,6,0.102,16021,5,0.076,17332,6,25.735,10448,4,-0.138,18202,6,-0.012,16866,6,17.111,20295,7,28.349,9753,3,0.138,15173,5,0.151,13995,5,0.513,8698,3,0.332,12513,4,-0.149,18339,6,0.469,12893,4,0.625,7639,3,0.103,13595,5,1683,345,1045,293,1036
E01011013,Kirklees 007A,E08000034,Kirklees,13.904,20042,7,0.089,18059,6,0.065,20103,7,18.634,14673,5,-0.329,21109,7,-0.018,16961,6,18.055,19058,6,23.945,12457,4,0.134,15615,5,0.081,23129,8,0.048,15266,5,0.323,13526,5,0.463,8476,3,-1.911,25437,8,0.2,13297,5,0.521,8177,3,1552,282,714,556,738
E01011014,Kirklees 007B,E08000034,Kirklees,33.486,6471,2,0.18,8035,3,0.129,8611,3,40.58,5229,2,0.24,12505,4,0.881,4579,2,27.85,8563,3,41.212,3876,2,0.205,9723,3,0.206,9535,3,0.547,8259,3,0.467,3310,2,0.374,9649,3,1.3,9322,3,1.038,3571,2,0.341,10227,4,1572,351,1023,198,1022
